#af1hpr,up_slope,under_slope,sum_slope
752.5,-0.025278,0.000476,-0.024801999999999998
-185.5,-0.006984,0.033651,0.026667
-536.5,-0.048148,0.033148,-0.015000000000000006
-76.0,-0.046667,0.025185,-0.021482
-505.5,-0.168889,0.091111,-0.07777800000000001
130.0,-0.030833,0.000983,-0.029849999999999998
23.0,-0.103889,0.321111,0.21722199999999997
25.0,-0.006209,0.086556,0.08034699999999999
-117.5,0.02179,0.558889,0.580679
-1679.5,-0.055741,0.60463,0.548889
-104.5,-0.001692,-0.000764,-0.002456
-146.5,-0.108889,0.031278,-0.077611
-626.0,-0.028935,0.056667,0.027732000000000003
213.5,-0.00375,0.083704,0.079954
447.5,-0.004646,-0.183519,-0.188165
479.0,-0.130185,0.0,-0.130185
222.5,0.450185,0.033333,0.483518
-114.5,-0.088981,0.015617,-0.073364
-223.0,-0.009921,0.00963,-0.0002909999999999996
266.0,-0.112407,0.054259,-0.058148000000000005
343.0,-0.078519,0.07,-0.008518999999999999
-9.5,-0.022708,0.027593,0.0048850000000000005
23.5,-0.021905,0.091296,0.06939100000000001
-35.5,-0.076667,0.011374,-0.065293
-382.0,-0.082222,0.029944,-0.052278000000000005
-689.0,-0.137778,0.057917,-0.07986100000000002
-10.5,-0.013148,0.007778,-0.00537
299.5,0.007154,0.078148,0.08530199999999999
154.5,-0.026975,0.045174,0.018199
22.0,-0.062593,0.167222,0.10462900000000001
-45.5,-0.009506,0.07463,0.065124
-358.0,-0.045833,0.001667,-0.044166
682.5,-0.037963,0.022009,-0.015953999999999996
-309.0,-0.002364,0.040741,0.038377
262.5,-0.014141,0.080093,0.065952
-83.0,-0.035556,0.006984,-0.028571999999999997
357.0,-0.109815,0.069,-0.04081499999999999
-36.5,0.023571,0.001801,0.025372000000000002
278.0,-0.002937,-0.008889,-0.011826
142.5,-0.056,0.02625,-0.029750000000000002
77.0,-0.008478,0.009667,0.0011890000000000008
-28.5,0.000556,0.0,0.000556
176.5,-0.009827,0.003704,-0.006123000000000001
-152.5,-0.040926,0.063241,0.02231500000000001
-389.5,-0.01125,0.005145,-0.006104999999999999
-664.5,-0.02463,0.109074,0.084444
-376.5,-0.095185,0.022014,-0.07317100000000001
-442.0,0.007625,0.061111,0.06873599999999999
104.0,-0.112407,0.067698,-0.04470900000000001
-83.0,-0.016111,-0.092593,-0.108704
345.0,-0.026204,0.010347,-0.015857000000000003
342.0,-0.103704,0.096852,-0.006852000000000011
159.5,-0.133333,0.048444,-0.084889
211.0,-0.010741,0.128056,0.117315
324.0,-0.114815,-0.038194,-0.153009
207.0,-0.117593,0.020185,-0.097408
159.5,-0.009807,-0.400185,-0.409992
-2083.0,-0.23,-0.056111,-0.286111
-305.0,-0.016407,0.028715,0.012308
452.0,-0.138056,0.018889,-0.11916700000000001
-82.5,-0.046111,0.126296,0.08018499999999999
-1065.5,-0.036389,0.030069,-0.006319999999999999
-27.5,0.22037,0.05537,0.27574
-195.5,-0.013796,0.101296,0.0875
-65.0,-0.061296,0.153333,0.092037
93.0,-0.069074,0.187778,0.118704
241.0,-0.022,0.024111,0.0021110000000000018
-751.0,-0.068333,0.022639,-0.045694000000000005
-401.5,-0.014444,0.000556,-0.013888000000000001
-73.0,-0.017222,0.205185,0.187963
-427.5,-0.004545,0.249074,0.244529
236.0,-0.100185,0.104074,0.0038890000000000036
-1012.5,-0.025926,0.008926,-0.017
1160.5,-0.109444,-0.024357,-0.133801
914.5,0.146111,0.089074,0.23518499999999998
-970.0,-0.016056,0.030909,0.014852999999999998
379.5,-0.004028,0.046528,0.042499999999999996
-59.0,-0.101667,0.082593,-0.019073999999999994
-392.5,-0.101481,0.101944,0.0004630000000000051
17.0,-0.026343,0.090972,0.06462899999999999
200.0,-0.153472,0.113704,-0.039768
113.5,-0.354815,-0.01,-0.364815
123.0,-0.068704,0.12537,0.05666600000000001
534.0,-0.062222,-0.148519,-0.210741
-528.0,0.004861,0.113889,0.11875000000000001
2467.0,-0.108968,-0.062593,-0.171561
664.5,-0.024815,0.298667,0.27385200000000004
-650.0,-0.035741,0.033222,-0.0025190000000000004
1043.5,-0.023519,0.291667,0.268148
838.0,-0.019167,0.199074,0.179907
211.5,-0.083333,0.034306,-0.049027
40.5,-0.006111,0.012901,0.006789999999999999
246.5,-0.006869,0.138333,0.13146400000000003
196.0,0.16463,0.058148,0.222778
-21.5,-0.225185,0.05321,-0.171975
-265.0,-0.042778,0.03537,-0.007407999999999998
-277.5,0.085185,0.065185,0.15037
-446.0,-0.012037,0.033333,0.021296000000000002
30.5,-0.192407,0.009352,-0.183055
143.5,-0.001157,0.101111,0.099954
-32.5,-0.013761,0.126852,0.113091
102.5,-0.174074,0.008698,-0.165376
138.0,0.251111,0.055556,0.30666699999999997
-307.0,-0.183148,0.269074,0.08592599999999997
379.5,-0.024259,0.01537,-0.008889
-208.5,-0.041111,0.020417,-0.020694
-106.5,-0.180556,0.120694,-0.059862
592.0,-0.10963,0.000119,-0.10951100000000001
310.0,-0.01463,-0.072778,-0.087408
-155.5,-0.041111,0.01213,-0.028981
100.5,-0.004444,0.017593,0.013149000000000001
504.0,-0.003651,0.105926,0.102275
446.0,-0.439074,0.002468,-0.436606
299.0,0.093704,0.045556,0.13926
707.0,-0.022593,0.011898,-0.010694999999999998
243.0,-0.002247,0.069167,0.06692000000000001
-142.5,-0.01746,0.142963,0.125503
-31.5,-0.131852,0.057,-0.074852
-67.0,-0.025185,0.003993,-0.021192
100.0,-0.005593,0.038148,0.032555
-1180.0,-0.179259,0.021806,-0.157453
-231.0,0.061667,0.026667,0.088334
-272.5,-0.037037,0.010266,-0.026771
-322.5,-0.075,-0.168704,-0.24370399999999998
-80.0,-0.028556,0.04746,0.018904
226.0,-0.080926,0.023519,-0.057407
281.0,-0.001481,0.131111,0.12963
-682.0,-0.011667,0.081481,0.069814
168.5,-0.015556,0.026806,0.01125
-396.5,-0.016111,0.028519,0.012407999999999999
166.0,0.026667,0.246667,0.273334
695.5,-0.102407,-0.02825,-0.130657
319.5,-0.023333,-0.002418,-0.025751
-256.0,-0.042037,-0.040185,-0.08222199999999999
12.5,-0.119815,0.00071,-0.119105
-108.0,0.00261,0.040556,0.043166
-126.5,-0.047917,0.080694,0.032777
-128.5,-0.041389,0.028444,-0.012945000000000002
-128.5,-0.005694,0.060972,0.055278
427.0,-0.064028,0.028333,-0.035695000000000005
-303.0,-0.033519,0.000694,-0.032825
